date,open,close,high,low,volume
2018-01-12 11:30,4.61,4.6,4.61,4.58,9277.0
2018-01-12 14:00,4.6,4.59,4.6,4.57,7376.0
2018-01-12 15:00,4.59,4.6,4.61,4.58,14394.0
2018-01-15 10:30,4.6,4.59,4.63,4.56,19655.0
2018-01-15 11:30,4.59,4.56,4.6,4.56,8990.0
2018-01-15 14:00,4.56,4.52,4.56,4.51,20779.0
2018-01-15 15:00,4.52,4.49,4.54,4.46,23651.0
2018-01-16 10:30,4.46,4.53,4.53,4.46,14212.0
2018-01-16 11:30,4.53,4.66,4.67,4.52,60716.0
2018-01-16 14:00,4.66,4.77,4.87,4.66,141049.0
2018-01-16 15:00,4.77,4.75,4.79,4.72,55056.0
2018-01-17 10:30,4.72,4.68,4.74,4.65,73378.0
2018-01-17 11:30,4.68,4.66,4.7,4.66,19730.0
2018-01-17 14:00,4.66,4.65,4.68,4.57,65249.0
2018-01-17 15:00,4.65,4.65,4.66,4.62,21181.0
2018-01-18 10:30,4.62,4.68,4.71,4.61,39382.0
2018-01-18 11:30,4.68,4.64,4.69,4.63,17347.0
2018-01-18 14:00,4.64,4.65,4.66,4.63,13614.0
2018-01-18 15:00,4.65,4.63,4.65,4.61,26035.0
2018-01-19 10:30,4.62,4.59,4.62,4.56,50438.0
2018-01-19 11:30,4.59,4.6,4.61,4.58,9756.0
2018-01-19 14:00,4.59,4.56,4.6,4.56,16729.0
2018-01-19 15:00,4.56,4.58,4.58,4.55,24779.0
2018-01-22 10:30,4.58,4.6,4.62,4.54,30548.0
2018-01-22 11:30,4.6,4.61,4.62,4.58,12297.0
2018-01-22 14:00,4.61,4.61,4.63,4.6,11776.0
2018-01-22 15:00,4.61,4.62,4.62,4.59,20800.0
2018-01-23 10:30,4.63,4.63,4.66,4.62,27587.0
2018-01-23 11:30,4.63,4.64,4.64,4.61,13958.0
2018-01-23 14:00,4.64,4.63,4.64,4.62,13245.0
2018-01-23 15:00,4.63,4.63,4.64,4.62,18256.0
2018-01-24 10:30,4.63,4.59,4.65,4.57,25309.0
2018-01-24 11:30,4.59,4.58,4.6,4.58,9110.0
2018-01-24 14:00,4.58,4.62,4.62,4.58,11403.0
2018-01-24 15:00,4.62,4.64,4.65,4.6,19829.0
2018-01-25 10:30,4.65,4.62,4.65,4.61,25017.0
2018-01-25 11:30,4.62,4.63,4.64,4.61,13206.0
2018-01-25 14:00,4.63,4.64,4.64,4.61,9844.0
2018-01-25 15:00,4.64,4.6,4.64,4.59,33768.0
2018-01-26 10:30,4.59,4.6,4.61,4.57,20194.0
2018-01-26 11:30,4.6,4.63,4.64,4.6,13558.0
2018-01-26 14:00,4.63,4.62,4.63,4.61,15086.0
2018-01-26 15:00,4.62,4.63,4.64,4.61,23370.0
2018-01-29 10:30,4.61,4.66,4.7,4.6,57089.0
2018-01-29 11:30,4.66,4.63,4.68,4.62,23118.0
2018-01-29 14:00,4.63,4.63,4.65,4.62,14254.0
2018-01-29 15:00,4.63,4.66,4.66,4.62,29096.0
2018-01-30 10:30,4.65,4.63,4.68,4.62,15925.0
2018-01-30 11:30,4.63,4.62,4.65,4.62,13055.0
2018-01-30 14:00,4.62,4.63,4.64,4.62,13765.0
2018-01-30 15:00,4.63,4.61,4.64,4.6,21939.0
2018-01-31 10:30,4.61,4.52,4.61,4.51,25004.0
2018-01-31 11:30,4.52,4.52,4.53,4.46,25010.0
2018-01-31 14:00,4.52,4.47,4.53,4.47,12601.0
2018-01-31 15:00,4.47,4.48,4.52,4.45,22526.0
2018-02-01 10:30,4.47,4.4,4.51,4.39,30376.0
2018-02-01 11:30,4.4,4.32,4.43,4.29,27391.0
2018-02-01 14:00,4.33,4.34,4.37,4.3,13384.0
2018-02-01 15:00,4.34,4.31,4.36,4.31,24364.0
2018-02-02 10:30,4.27,4.32,4.33,4.16,29423.0
2018-02-02 11:30,4.32,4.31,4.33,4.3,5355.0
2018-02-02 14:00,4.31,4.28,4.32,4.27,8382.0
2018-02-02 15:00,4.28,4.27,4.31,4.26,17369.0
2018-02-05 10:30,4.2,4.22,4.27,4.18,12381.0
2018-02-05 11:30,4.22,4.25,4.25,4.22,8691.0
2018-02-05 14:00,4.25,4.26,4.27,4.24,5464.0
2018-02-05 15:00,4.26,4.27,4.28,4.26,11535.0
2018-02-06 10:30,4.21,4.22,4.24,4.19,19451.0
2018-02-06 11:30,4.22,4.18,4.22,4.15,19103.0
2018-02-06 14:00,4.18,4.08,4.18,4.0,32187.0
2018-02-06 15:00,4.08,4.0,4.09,3.99,44664.0
2018-02-07 10:30,4.04,4.15,4.21,4.04,35821.0
2018-02-07 11:30,4.15,4.11,4.15,4.03,25560.0
2018-02-07 14:00,4.11,4.09,4.13,4.05,8476.0
2018-02-07 15:00,4.09,4.1,4.11,4.07,11957.0
2018-02-08 10:30,4.09,4.18,4.2,4.06,23027.0
2018-02-08 11:30,4.18,4.16,4.2,4.14,8044.0
2018-02-08 14:00,4.16,4.15,4.17,4.13,6849.0
